Sr No.,State,NH-No.,Toll Plaza Name,Toll Plaza Location,Section / Stretch,TollPlazaID
170,Gujarat,8,Bhagwada,Km 356.200,Surat Dahisar,288
171,Gujarat,14,Bhalgam (Belgaum),Km 502.100,Projects comprising of 1 National Highway Stretch on Toll Operate Transfer (TOT) Mode Tolling Operation Maintenance Transfer of PalanpurRadhanpurSamakhiyali section of NH27 from Km 536000,259
172,Gujarat,48,Bharthan Karjan,Km 157.750,Vadodara - Bharuch,302
173,Gujarat,27 (old 8B),Bharudi,Km 156.800,Gondal - Rajkot,48
174,Gujarat,6,Bhatia,Km 89.860,Gujrat/ Maharashtra Border - Surat Hazira Port,428
175,Gujarat,59,Bhatwada (Godhra),Km 146.400,Godhra - Gujarat / MP Border,374
176,Gujarat,14,Bhiladi,Km 403.000,Projects comprising of 1 National Highway Stretch on Toll Operate Transfer (TOT) Mode Tolling Operation Maintenance Transfer of PalanpurRadhanpurSamakhiyali section of NH27 from Km 589600,99
177,Gujarat,341,Bhirandiyara Fee Plaza,Near Bhirandiyara Village,Bhuj Khavda Dharamshala section,6829
178,Gujarat,168,Bhordu,Bhordu,Upgradation of New National Highway No.168 to two lane with paved side shoulder configuration between Km 00 to 41300 Km 43250 to 68174 (TharadDhaneraPanthawada Section) including improvement o,5913
179,Gujarat,8,Boriach,Km 297.300,Surat Dahisar,287
180,Gujarat,8,Choryasi,Km 245.650,Bharuch - Surat,50
181,Gujarat,8 D,Dari,Km 108.980,Jetpur-Somnath (Km 0.000 to Km127.600),423
182,Gujarat,27 (Old 8B ),Dhumiyani,Km 82.215,Porbander Jetpur (Km 1.960 to Km 117.600),142
183,Gujarat,NE4,DodakaToll Plaza,Chainage Km 847.291,Vadodara Mumbai Expressway Package I,6864
184,Gujarat,NE 4,Fajalpur Toll Plaza,Chainage Km 849.171,Vadodara Mumbai Expressway Package I,6865
185,Gujarat,151 (Old 8D ),Gadoi,Km 51.250,Jetpur Somnath(Km 0.000 to 127.600 ),422
186,Gujarat,51,Gorsar,Km 342.730,Gadu Porbandar,5687
187,Gujarat,8,Kathpur,Km 472.035,6L of Shamla ji to Motachilodha from km.401.200 to km. 494.410 of Old NH8 (PkgVI),309
188,Gujarat,14,Khemana,Km 602.750,Four laning of Palanpur to Swaroopganj Section km. 601.000 to km. 677.000 in the State Gujarat through BOT (Annuity) Mode,202
189,Gujarat,Old NH 8E New NH 51,Kobadi,18.150,Bhavnagar to Talaja section of NH51,5691
190,Gujarat,NH 8E,Kuchadi,Kuchhadi at Km 409.500,Porbandar to Dwarka,5655
191,Gujarat,Nh113(New 56),Limdi,240.700,Padhi to Dahod section of NH113 in the state of Gujarat Rajasthan,4554
192,Gujarat,15,Makhel,Km 394.200,Samakhiyali Santalpur section of NH27 (from Km 339700 to Km 430100 and Km. 589600 to 601000) in the State of Gujarat,97
193,Gujarat,6,Mandal (Vyara),Km 28.590,Gujrat/ Maharashtra Border - Surat Hazira Port,427
194,Gujarat,41,Mokha,Km 44.500,Kandla - Mundra,448
195,Gujarat,NE-1,Nadiad,Km 3.800,Ahmedabad Vadodra Expressways 1 & 2,311
196,Gujarat,NE 01,Nadiad Toll Plaza,Nadiad,Ahmedabad To Vadodara (NE 01),6683
197,Gujarat,NH8E,Nageshwari,152.05,Kagavadar to Una,5692
198,Gujarat,48,Narmada Bridge ( Mandva ),Km 195.800,Km. 192.000 to Km. 198.000,4541
199,Gujarat,NH 8E,Okhamadhi,Km 470.875,Porbandar to Dwarka,5656
200,Gujarat,168,Panthwada,Panthwada,Upgradation of New National Highway No.168 to two lane with paved side shoulder configuration between Km 00 to 41300 Km 43250 to 68174 (TharadDhaneraPanthawada Section) including improvement o,5912
201,Gujarat,27 (old 8B),Pithadiya,Km 120.700,Gondal - Rajkot,49
202,Gujarat,47,Pithai,km 37.300,Ahmedabad to Godhra (Km 4.2 Km 122.42 of NH 59),385
203,Gujarat,8,Radhvanaj (Kheda),Km 44.005,6 Laning of Ahmedabad Vadodara Section from km 6.400 to km 102.300,467
204,Gujarat,NE-1,Ring Raod,Km 86.000,Ahmedabad Vadodra Expressways 1 & 2,311
205,Gujarat,NE 01,Ring Road (Ahmedabad),Ring Road,Ahmedabad To Vadodara (NE 01),6681
206,Gujarat,51,Rohisa,At 79.370 Km (Rohisa village),Talaja Mahuva Kagvadar section NH51,6788
207,Gujarat,41,Samakhiyali,Km 308.600,Samakhiyali - Gandhidham,68
208,Gujarat,NE 4,Samiyala,Chainage Km 869.836,Vadodara Mumbai Expressway PackageII,6866
209,Gujarat,NE 4,Sanpa,Chainage Km 900.439,Vadodara Mumbai Expressway PackageII,6867
210,Gujarat,51,Sundarpara Toll Plaza,Sundarpara Village,KodinarSomnath,6831
211,Gujarat,27,Surajbari,Km 286.655,Garamore Samakhiyali (Km 254.000 to Km 306.000)( New Chaianage Km 254.537 to Km 307.034),263
212,Gujarat,151 A,Taran Toll Plaza,Taran,50.416 km,6785
213,Gujarat,14,Undavariya/ Sirohi,Km 270.250,Four laning of Palanpur to Swaroopganj Section km. 601.000 to km. 677.000 in the State Gujarat through BOT (Annuity) Mode,244
214,Gujarat,NE 01,Vadodara,Km. 86.00,Four Laning of AhmedabadVadodara Expressway from km.0.000 to km 93.302,5642
215,Gujarat,NE-1,Vadodra,Km 58.616,Ahmedabad Vadodra Expressways 1 & 2,311
216,Gujarat,8 A,Vaghasia,Km 213.100 NH 8 A in Gujarat,Garamore Bamanbore (Km 182.60 to Km 254.00)Bamanbore Garamore Section ( Kms. 182.600 to Kms 254.537),140
